GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
2,0.192,0.49,0.48,116.6,0.472827191057811,3.08322,5,3,3,3,3,3,3,3,3,0,1,0,2.86336,2.86336,2.68328,2.82947,2.68328,2.94398,2.68328,2.68328
7,0.0512,0.26,0.63,63.4,0.468554307107963,2.98737,2,3,2,2,3,2,3,2,2,0.968431437027294,0.0315685629727063,0,2.5114,2.36106,2.36106,2.5114,2.36106,2.5114,2.36106,2.36106
10,0.1088,0.37,0.73,121,0.492337280374718,2.36237,1,2,2,2,2,2,2,2,2,1,0,0,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678
14,0.0576,0.27,0.66,26.6,0.493636881019524,2.37295,1,2,2,2,2,2,2,2,2,1,0,0,3.09732,3.09732,3.09732,3.09732,3.09732,3.09732,3.09732,3.09732
21,0.0448,0.24,0.49,116.6,0.49335469925157,2.35857,3,2,2,2,2,2,2,2,2,1,0,0,2.30266,2.30266,3.15352,2.30266,3.15352,2.34085,2.34085,2.34085
29,0.1024,0.36,0.37,76,0.495012790292429,2.37471,2,2,2,2,2,2,2,2,2,1,0,0,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678
36,0.1152,0.38,0.39,66.8,0.467995594990847,3.59555,3,2,2,2,2,1,2,2,1,0.990206746463547,0,0.00979325353645267,3.09246,2.36106,2.36106,3.09246,2.35448,3.09246,3.09246,2.35448
37,0.1152,0.38,0.46,56.3,0.494644222057631,2.35448,4,1,2,2,1,2,2,2,2,0.995883244232254,0,0.00411675576774636,3.59555,2.36106,2.36106,3.59555,3.15678,3.09246,3.09246,3.15678
38,0.0704,0.3,0.53,68.2,0.49379338531312,2.36943,1,2,2,2,2,2,2,2,2,1,0,0,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678,3.15678
39,0.1664,0.46,0.55,50.2,0.315681046591761,3.20313,2,3,3,3,3,3,3,3,3,0,1,0,2.42502,2.42502,2.97828,2.42502,2.97828,2.42502,2.97828,2.97828
40,0.1472,0.43,0.53,113.2,0.4922055959512,2.37823,3,2,2,2,2,2,2,2,2,1,0,0,3.15678,3.15678,2.34085,3.15678,3.09732,3.15678,3.09732,3.09732
42,0.0448,0.24,0.49,116.6,0.316289274301077,3.31186,3,3,3,3,3,3,3,3,3,0,1,0,2.73481,2.72295,2.72295,2.73481,2.42502,2.73481,2.42502,2.42502
43,0.1536,0.44,0.28,123.7,0.493726971923005,2.36377,3,2,2,2,2,2,2,2,2,0.997846535763956,0.00215346423604361,0,3.15678,3.15678,3.15678,3.09246,3.15678,3.09246,3.09246,3.15678
