GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
3,0.032,0.2,0.53,56.3,0.456809629560576,2.66309,1,2,2,2,2,2,2,2,2,1,0,0,2.51019,2.51019,2.51019,2.51019,2.51019,2.51019,2.51019,2.51019
9,0.096,0.35,0.51,128.7,0.385314622310343,2.90061,3,3,3,2,3,2,1,2,2,0.968114497939218,0.0115947280221025,0.0202907740386793,3.14543,3.14543,2.72112,3.14543,2.72112,2.88093,2.72112,2.72112
16,0.0512,0.26,0.5,26.6,0.491557382833072,3.24662,2,2,2,1,2,1,2,1,1,0.81203007518797,0,0.18796992481203,2.8715,2.8715,2.42007,2.8715,2.42007,2.8715,2.42007,2.42007
17,0.0896,0.34,0.4,63.4,0.435991225487497,2.88093,4,2,3,1,2,2,2,2,2,0.969167609232961,0.0107243098320137,0.0201080809350258,2.57138,3.14543,2.90061,2.57138,2.72112,2.57138,2.72112,2.72112
18,0.16,0.45,0.46,116.6,0.475049836817494,2.42007,4,2,1,1,3,1,3,3,3,0.223631422285492,0.759803287174841,0.0165652905396661,2.8715,3.24662,3.24662,2.05897,3.24662,2.31566,2.31566,2.31566
21,0.064,0.29,0.35,51.3,0.44459638822243,2.74872,2,2,2,2,2,2,2,2,2,1,0,0,2.33801,2.33801,2.33801,2.58961,2.33801,2.58961,2.58961,2.33801
22,0.032,0.2,0.48,14,0.445155441456953,3.23714,1,2,2,2,2,2,2,2,2,1,0,0,2.89938,2.89938,2.89938,2.89938,2.89938,2.89938,2.89938,2.89938
29,0.9728,1.11,0.35,36.4,0.451714380434387,3.28171,6,2,2,2,2,2,2,2,2,0.985912750484673,0.0140872495153275,0,2.89938,2.12366,2.12366,2.88507,2.12366,2.68525,2.68525,3.10477
30,0.0768,0.31,0.52,59,0.457331600608598,3.15257,5,2,2,2,2,2,1,1,2,0.739532145782146,0.00900900900900901,0.251458845208845,2.72112,2.72112,2.72112,2.72112,2.88507,2.8926,2.8926,2.88507
31,1.965,1.58,0.25,152.8,0.487506452830823,2.8926,17,2,2,2,2,2,2,2,2,0.985349052579004,0.0146509474209962,0,2.58961,2.72112,2.72112,2.58961,2.57461,2.8163,2.68525,2.68525
36,0.288,0.61,0.42,114.4,0.438016141508414,2.80539,5,2,2,2,2,2,2,2,2,1,0,0,2.32975,2.32975,2.51019,2.33673,2.51019,2.72079,2.72079,2.51019
37,0.1984,0.5,0.44,148,0.395647475966882,2.85179,5,2,2,2,2,2,3,1,1,0.739531261774976,0.0136652515762767,0.246803486648748,2.33801,2.72112,2.72112,3.11699,2.72112,2.59448,2.8926,2.8926
47,0.0512,0.26,0.6,135,0.399244825386478,3.30139,3,2,2,2,2,3,2,2,3,0.994182170777529,0.00581782922247137,0,2.12366,2.12366,2.12366,2.12366,2.85634,2.97547,2.97547,2.85634
49,0.0448,0.24,0.42,36.9,0.395455302131412,3.27068,4,3,3,3,3,3,2,3,3,0.159554886211513,0.840445113788487,0,2.85634,2.99266,2.99266,2.85634,2.76879,2.97547,2.76879,2.76879
55,0.1344,0.41,0.39,6.3,0.480762205453909,2.79561,4,1,1,2,1,3,2,2,2,0.867037445080107,0.00254854852197459,0.130414006397919,2.8926,2.8926,2.57461,2.8926,3.05081,2.68525,2.68525,2.68525
59,0.1664,0.46,0.38,114,0.488526698074761,3.57541,4,2,2,2,2,2,3,3,2,0.66598213368929,0.334017866310709,0,3.1822,3.1822,3.1822,3.1822,2.72079,3.12926,3.13937,2.72079
63,0.1856,0.49,0.17,82.4,0.391597004632417,3.334,4,2,2,2,3,2,2,2,2,0.994946969497592,0.00505303050240808,0,2.12366,2.12366,2.12366,2.7751,2.97547,2.68525,2.68525,2.97547
66,0.0832,0.33,0.56,9.5,0.488445924875157,2.94062,5,2,2,2,2,2,2,2,2,1,0,0,2.66821,2.66821,3.07123,2.77706,2.29221,2.77706,2.77706,2.29221
68,0.1408,0.42,0.29,101.3,0.445284027961299,2.81813,5,2,2,3,2,3,2,3,3,0.974690663667041,0.0253093363329584,0,2.51019,2.51019,2.66449,2.51019,2.91734,2.51019,2.91734,2.91734
70,0.224,0.53,0.35,45,0.453423824859748,2.95203,4,2,2,2,2,3,2,2,3,0.991421422614083,0.00857857738591684,0,3.10477,2.9574,2.9574,2.68525,2.7751,2.68525,2.68525,2.7751
79,0.1728,0.47,0.41,58,0.466013075754726,2.78131,4,2,2,2,2,2,3,3,2,0.894468389917378,0.105531610082622,0,2.77706,2.29221,2.29221,2.77706,2.68525,2.56109,2.56109,2.68525
83,0.128,0.4,0.3,77.5,0.492076642945584,3.56084,2,3,3,3,3,3,3,3,3,0,1,0,3.12926,3.13937,3.13937,3.12926,3.13937,3.12926,3.12926,3.13937
