GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
10,0.0768,0.31,0.45,149,0.371993780851937,3.36296,3,2,3,3,2,3,2,2,3,0.700934579439252,0.299065420560748,0,2.16445,2.06566,2.06566,2.16445,2.06566,2.16445,2.08934,2.06566
12,0.1408,0.42,0.26,163.3,0.372780655205,3.33357,5,3,3,2,3,2,2,2,2,0.943172075933864,0.0418044498877322,0.0150234741784038,2.06566,2.06566,2.06346,2.06566,2.06346,3.05044,2.08625,2.06346
14,0.0512,0.26,0.62,45,0.393131849019045,3.4839,3,2,2,2,2,2,2,2,2,1,0,0,2.06346,2.10214,2.10214,2.06346,2.10214,2.06346,2.10214,2.10214
21,0.1472,0.43,0.32,78.7,0.381736479839012,3.42941,4,1,2,2,2,2,2,2,2,0.984992538904285,0,0.0150074610957152,3.33357,2.06346,2.06346,3.05044,2.06346,3.05044,3.05044,3.05044
25,0.128,0.4,0.22,169.7,0.393726065700468,3.31001,2,2,2,1,2,1,2,1,1,0.954041854739434,0,0.0459581452605663,3.30055,3.30055,3.47723,3.30055,3.47723,3.30055,3.47723,3.47723
28,0.0896,0.34,0.44,141.3,0.380396622198678,3.43873,2,2,3,3,2,3,2,2,2,0.952414145638738,0.0475858543612621,0,3.05044,2.06566,2.06566,3.05044,2.06566,3.05044,3.05044,3.05044
30,0.1344,0.41,0.39,167.5,0.397699589916592,3.47723,3,2,2,2,2,2,3,3,3,0.707762557077626,0.259766615930999,0.0324708269913749,3.30055,3.30055,3.30055,3.30055,3.30055,2.95818,2.95818,2.95818
34,0.3968,0.71,0.38,61.7,0.447987559085834,3.65459,3,2,2,2,2,2,2,2,2,0.947676795203706,0.0523232047962938,0,2.80057,2.80057,2.69299,2.80057,2.69299,2.69299,2.69299,2.69299
35,0.3776,0.69,0.56,45,0.445145003574158,3.65805,6,3,3,2,2,1,2,2,1,0.85032493066766,0.0821226044124343,0.0675524649199056,2.81659,2.11922,3.30055,2.91856,3.48665,2.91856,2.91856,3.48665
37,0.2176,0.53,0.3,51.3,0.380655298628173,3.46084,3,2,2,2,2,2,2,2,2,1,0,0,2.16445,2.16445,3.05044,2.09282,3.05044,2.09282,3.05044,3.05044
41,0.032,0.2,0.53,146.3,0.442703717723758,3.57752,2,2,2,2,2,2,2,2,2,1,0,0,2.9868,2.9868,2.9868,2.71321,2.9868,2.71321,2.71321,2.71321
42,0.3264,0.64,0.44,22.6,0.396528622336306,3.48665,3,1,2,2,1,2,1,3,3,0.808883219297228,0.0816421199118636,0.109474660790908,3.65805,3.30055,3.30055,3.65805,3.30055,3.65805,2.17245,2.17245
43,0.032,0.2,0.53,123.7,0.380168500262282,3.48532,4,2,2,2,2,2,2,2,2,1,0,0,2.09734,2.16445,2.16445,2.09734,3.05044,2.09734,3.05044,3.05044
44,0.0704,0.3,0.53,68.2,0.379340876526589,3.50234,3,2,3,3,2,2,2,2,2,0.982632141043822,0.0173678589561777,0,3.05044,3.10912,3.10912,3.05044,2.10214,3.05044,3.05044,2.10214
45,0.32,0.64,0.35,74.1,0.381799961105229,3.45824,4,2,2,2,2,3,1,1,1,0.926267281105991,0.0100219229564673,0.0637107959375419,3.05044,3.05044,2.09138,3.05044,2.05177,3.36092,3.36092,3.36092
47,0.032,0.2,0.57,123.7,0.383236309279332,3.46234,2,2,2,2,2,2,2,2,2,1,0,0,3.11489,3.11489,3.11489,2.10214,2.10214,2.10214,2.10214,2.10214
49,0.0448,0.24,0.52,45,0.392837310214436,3.47882,3,2,2,3,2,3,2,2,3,0.471545373593459,0.528454626406541,0,2.91856,2.91856,2.95818,2.91856,2.95818,2.91856,2.91856,2.95818
59,0.576,0.86,0.46,57.3,0.444587209747991,3.6187,5,2,2,2,2,2,3,3,2,0.988338458034392,0.0116615419656076,0,2.9868,2.9868,2.09287,2.9868,2.09287,2.08353,2.08353,2.09287
60,0.224,0.53,0.51,40.6,0.380209219176658,3.4584,3,2,2,2,2,2,2,2,2,1,0,0,2.10214,2.10214,2.10214,2.10214,2.9521,2.9521,2.9521,2.9521
